,title,content
10,갤럭시 점프 사전예약 국내 첫 30만원대 5G 스마트폰... ,KT가 5월 14일부터 20일까지 국내 첫 30만원대 5G 스마트폰 갤럭시 점프 사전예약을... 프리미엄 스마트폰 출시 행사 때 보다 혜택이 큰 것도 눈길을 끌고 있습니다. 왜... 
11,쿨링 기능을 탑재한 차량용 스마트폰 고속 무선충전 거치대 후기,바로 클레버 타키온 차량용 스마트폰 쿨링 고속 무선충전기 제품입니다. 그럼 어떤... 밀착이 되어 있다 보면 차량용 고속 무선충전기와 스마트폰이 동시에 발열이... 
12,스마트폰용 85-200mm 줌렌즈와 5축 떨방 공개한 오포,오프 스마트폰이기도 하지만 글로벌 판매량에서는 샤오미나 애플을 제치고... 오포 역시 매년 많은 신기술을 공개하며 기술력을 자랑하고 있는 스마트폰 리딩... 
13,태블릿 스마트폰 보호필름 추천 힐링쉴드,필자가 새로운 태블릿이나 스마트폰 등 새로운 디바이스를 사용하게 되면 꼭... 필자의 경우 쌩폰으로 사용하기 때문에 스마트폰 사용할때도 후면보호필름은 꼭... 
14,다음 스마트폰 디자인은 폴더블이 끝? 다른 디자인은...,"지난해 말, 이재용 삼성전자 부회장은 행사장에 폰 하나를 들고 등장했는데요.... 스마트폰이 스마트워치 속으로? 오포의 자회사 BBK는 꽤 신기한 스마트폰 디자인을... "
15,ASUS 젠폰8 스펙 살펴보기 (5인치대 플래그십 스마트폰),"최근 출시되는 안드로이드 스마트폰은 6인치대 화면 크기가 기본입니다. 원플러스나 샤오미같은 중국 스마트폰들 역시 6인치대가 기본이죠, 심지어 보급형조차도... "
16,조비 고릴라포드 325 스마트폰 미니 삼각대 실용적인 꿀템,"스마트폰 카메라 성능이 엄청 좋아지면서 별도의 카메라 장비 없이 사진을 찍고, 영상 촬영까지 하는 분들을 쉽게 찾아볼 수 있습니다. 플래그십 스마트폰이라면 4K... "
17,도보 네비게이션도 가능한 스마트폰 내비 네이버 지도 앱,제가 스마트폰을 사용을 하면서 가장 사용 많이 한 앱이 무엇인지 생각을... 더 스마트한 라이프를 즐기실 수 있으리라 생각이 됩니다. 하시다가 잘 안되시는 부분 있으면... 
18,갤럭시S20 FE 가격 KT 공짜 스마트폰 살펴보기,"갤럭시S20 FE는 정말 괜찮은 스마트폰이다. 가격도 저렴한데 성능까지도 괜찮기 때문이다. 그래서 가성비 스마트폰이라는 이야기도 들었는데, 이번 글에서는 삼성의... "
19,"유튜브 프리미엄 대신 클립다운, PC와 스마트폰에서 편리하게!",활용하면 스마트폰에 동영상을 저장하고 언제 어디서나 데이터를 쓰지 않고... 클립다운은 스마트폰 앱과 PC에서 모두 이용할 수 있는데 어떻게 활용하는지... 
20,가성비 스마트폰 샤오미 홍미노트10 프로 스펙 가격 비교,"가성비 스마트폰 샤오미 홍미노트10 프로 / 노트10이 국내 출시되었습니다. 30만... 미밴드5, 스마트 체중계 2세대, 스마트 홈캠 등 샤오미 액세서리 11종에 적용 가능한... "
21,"LG, 스마트폰 사업을 중단하기로 최종 결정하였습니다.",지난 1월 CES 2021에서 롤러블 스마트폰을 공개하고 플래그십 스마트폰인 레인보우 출시를 준비하는 등 플래그십 스마트폰에 재도전을 할 줄 알았던 LG전자가 CES 2021... 
22,아이폰 스마트폰 중고 거래 매입과 판매 선릉에서 하기,매년 매 시즌마다 이제 각 기업에서 새로운 스마트폰 시리즈를 출시하고 있습니다.... 자연스럽게 사전 예약을 하고 자연스럽게 새로운 스마트폰을 손에 넣게됩니다.... 
23,스마트폰 마이크로 SD카드 OTG 리더기 - PC 노트북 사진전송,스마트폰 마이크로 SD카드 OTG 리더기 - PC 노트북 사진전송 메모리카드 스마트폰 노트북 PC 사진 이동 및 복사 리더기 기본적으로 스마트폰은 점점 슬림하게 작게... 
24,태블릿 거치대 추천 가성비 스마트폰 스탠드 써보니,가성비 태블릿거치대 스마트폰 스탠드 써보니 노트북 거치대와의 차이는? 스마트폰이나 태블릿이 노트북과 다른 점은 무엇일까? 필자가 생각하는 구분법은 한손을... 
25,"스마트폰부업,앱 하나면 남녀노소 2시간 만에 끝!","왜 스마트메이커로 스마트폰부업을 해야 하나요? 앱으로 부업을 해야 하는 이유는, 누구나 2시간 만에 가능하다는 장점도 있지만 다양한 장점이 있습니다. 현재 우리가... "
26,"가장 저렴한 5G 갤럭시, 가성비 스마트폰 갤럭시 점프 분석!",삼성전자가 보급형 스마트폰 갤럭시 A 32 5G 모델 출시를 앞두고 있습니다. 이미... 최고의 가성비 스마트폰이 될 것이라는 기대를 한 몸에 받고 있는 갤럭시 점프... 
27,삼성과 애플의 수중 스마트폰 특허 경쟁 시작됐다,삼성의 스마트폰 수중 촬영 특허(등록번호:US11042240) (출처:USPTO) 삼성이 지난 6월 22일 등록한 특허(등록번호:US11042240)는 수중에서 갤럭시 스마트폰을 이용한 수중... 
28,"샤오미 미11 라이트 5G 스펙 살펴보기, 가벼운 스마트폰","구형 스마트폰을 여전히 사용하고 있는 분들도 계십니다. ""요즘 폰들은 너무... ""크면 무거운거 아닌가?"" 꼭 그렇지도 않더군요 ""가벼우면서 화면도 큰 스마트폰은... "
29,"스마트폰부업,앱 하나면 남녀노소 2시간 만에 끝!","왜 스마트메이커로 스마트폰부업을 해야 하나요? 앱으로 부업을 해야 하는 이유는, 누구나 2시간 만에 가능하다는 장점도 있지만 다양한 장점이 있습니다. 현재 우리가... "
30,"가장 저렴한 5G 갤럭시, 가성비 스마트폰 갤럭시 점프 분석!",삼성전자가 보급형 스마트폰 갤럭시 A 32 5G 모델 출시를 앞두고 있습니다. 이미... 최고의 가성비 스마트폰이 될 것이라는 기대를 한 몸에 받고 있는 갤럭시 점프... 
31,"유튜브 프리미엄 대신 클립다운, PC와 스마트폰에서 편리하게!",활용하면 스마트폰에 동영상을 저장하고 언제 어디서나 데이터를 쓰지 않고... 클립다운은 스마트폰 앱과 PC에서 모두 이용할 수 있는데 어떻게 활용하는지... 
32,입문용 와콤 타블렛 추천 인튜어스 설정 스마트폰 연결까지!,안드로이드 스마트폰과 연결 와콤 인튜어스는 안드로이드 스마트폰과 연결하여 사용할 수 있는데요. 이를 위해서는 USB OTG가 필요합니다. 물론 별도로 구매를 해야... 
33,라이카 최초의 스마트폰 'Leitz Phone 1'(번역),라이카 최초의 스마트폰 'Leitz Phone 1'. 그 외관에서 읽는 '라이카스러움'이란... Android 스마트폰 「Leitz Phone 1」을 7월 이후에 발매한다고 발표했다. 소프트뱅크... 
34,스마트폰 쿨러 조이트론 플라이디지 WASP 윙2 PRO 사용 소감,"스마트폰 쿨러 조이트론 플라이디지 WASP 윙2 PRO 사용 소감 안녕하세요. IT를... 종일 스마트폰만 붙잡고 계신 분도 많을거라 생각하는데, 이렇게 모바일이 대세가... "
35,"LG 스마트폰의 사후 지원에 관한 Q&A: OS 업데이트, LG페이... ",지난 4월 5일 LG가 스마트폰 시장을 공식적으로 철수하면서 기존에 판매되고 있는 LG 스마트폰은 언제까지 판매되는지? 그리고 이미 판매한 스마트폰의 사후지원은... 
36,"디자인스킨 그립스탠드 사용기 ::: 스마트폰 그립, 스탠드... ","스마트폰들이 크고 무거워지면서, 케이스와 함께 각광받게된 악세서리들이 2개... 방식이라 폰 기종을 가리지 않고 사용할 수 있습니다. 이 제품은 오는 6월 21일까지... "
37,맥북 화면에 안드로이드 스마트폰을 미러링 하는 방법,"폰 미러링을 선택하면 된다. 맥북 화면에 안드로이드 스마트폰 화면이 미러링이 되었따. 화면이 조금 작아 보일 수 있는데, 마우스 드러그로 화면의 크기를 조절할 수는... "
38,"가성비 스마트폰 누비아 레드매직 6R, 고성능 게이밍폰 만나보니",오늘은 가성비 스마트폰 < 누비아 레드매직 6R > 이야기를 해보려 합니다. 고성능... 고성능 스펙을 가진 갓성비 넘치는 스마트폰 일단 스펙을 이야기를 해보겠습니다.... 
39,HDMI로 연결해 프리뷰 모니터로 쓸 수 있는 스마트폰,최근에 출시된 접는 폰(삼성전자 갤럭시Z폴드2 기준)도 1999달러. 약 230만 원 정도인데 소니의 스마트폰은 왜 이렇게 비싼 걸까? 접히는 것도 아니고 평범한 바... 
40,LG 레인보우 사내 한정판매 결정! 마지막 LG스마트폰,"마지막 LG스마트폰 안녕하세요? 태스입니다 LG전자가 저번달, 정말 안타까운 소식을 발표했었습니다 바로 모바일 스마트폰 시장의 철수내용이죠 LG모바일의... "
41,CCTV 고장 : 스마트폰 보기가 안될 때 랜포트 부터 확인,CCTV를 모니터 없이 스마트폰으로만 보시는 소비자들이 늘어나는 추세 입니다. 갑자기 스마트폰 보기가 안되는 경우 모니터가 없으면 어떤 이상인지 알 방법이... 
42,"세계 최초 UDC (언더디스플레이 카메라) 스마트폰, ZTE... ","미래 스마트폰 디자인의 테마는 무엇일까요? 제조사마다 차이는 있겠지만, 공통점이 있다면 역시 언더디스플레이 카메라 (UDC)일 것입니다. 얇은 스마트폰을... "
43,나~른한 휴일에 하기 좋은 주말부업 스마트폰 하나면... ,"이로 인해 최근에는, 나른한 휴일에 하기 좋고 일을 하지 않고 놀면서도 스마트폰... 보이는 것처럼 스마트메이커만 있다면 왼쪽의 다양한 기능들을 오른쪽의 화면에... "
44,스마트 스위치로 갤럭시 스마트폰 백업 / 복원하기,스마트폰을 초기화하거나 폰 분실 후 새 폰에 복원할 때 유용하게 활용될 수 있습니다. 지금 바로 삼성 스마트 스위치 PC 버전으로 데이터 백업 후 안전하게 사용하세요.
45,삼성 스마트 모니터 M5 32인치 추천 재택근무 스마트폰 연결... ,"스마트폰 연결 삼성 스마트 모니터 M5 S32AM501는 스마트폰과 화면공유(Smart View), SmartThings, Appple Airplay, 탭뷰 연결을 지원합니다. 지원되는 스마트폰이라면 삼성 덱스도... "
46,라이카 첫 스마트폰 'Leitz Phone 1'(번역),"라이카 첫 스마트폰 'Leitz Phone 1', 1인치 카메라 탑재 187,920엔 야마자키 겐타로... 첫 스마트폰 리츠 폰1(라이츠 원)을 7월 이후 독점 발매한다. 6월 18일부터... "
47,스마트폰 파워포인트 배경 네온 닮았나,"그리고 배경의 기본적인 형태, 컨셉은 스마트폰의 화면을 만들어 넣어줄거구요.... 그럼 이제 부터 스마트폰 모양을 만들어 볼까요? 그냥 양쪽 모서리가 둥근... "
48,LG의 마지막 스마트폰 벨벳 2 프로의 공식 사양자료 유출.,LG전자의 마지막 바형 스마트폰으로 알려져 있는 코드명 레인보우였던 벨벳 2... 스펙을 보면 전형적인 플래그십 스마트폰으로 키리스 디자인이라는 기믹성 기능을... 
49,스마트폰 강의시 필요한 미러링 - 삼성 플로우 구축하기,SNS 스마트폰강사 김미경 인사드려요. 지금도 스마트폰이 대세이죠. #스마트폰교육 수요도 많고 스마트폰으로 교육할 수 있는 분야도 넓구요. 스마트폰 미러링은... 
50,갤럭시 Z슬라이드 _ 삼성 롤러블 스마트폰,"롤러블 스마트폰 삼성 언팩 행사를 통해서 갤럭시Z폴더,플립이 공개되고 사전예약을 통해 판매가 되고 있습니다. 이제는 다음세대 삼성의 스마트폰은 어떤... "
51,"YES or NO! 스마트폰, 밤새 충전하면 수명 준다?","스마트폰 제조업체는 평균 2~3년 정도 배터리를 사용했을 경우, 충전 사이클이 다 소요된다고 말하고 있어요. 폰 사용기간이 길수록 배터리가 빨리 닳는 건 기분 탓이... "
52,스마트폰삼각대 추천 베스트로딩 여행용으로 정착,"스마트폰삼각대 추천 베스트로딩 여행용으로 정착! 글/사진/영상 - 햇지 안녕하세요! 햇지입니다 :) 인생사진을 위한 필수템 #스마트폰삼각대 인데요, 기존에 풀프레임... "
53,사회복지사2급 스마트폰으로!,그래서 사회복지사 취득방법과 스마트폰으로 쉽게 취득하는 방법을... 평생교육원사회복지사 선택은 스마트폰으로 가능한 유비온 원격평생교육원에서! 학점은행제로... 
54,스마트폰 음성인식&인공지능 번역 서비스 특강,진행된 ‘스마트폰 음성인식 &인공지능 번역 서비스’ 특강을 수강 해보았습니다. 이 강의를 통해 스마트폰을 이용해 구글에 들어가서 음성인식으로 검색해 보고... 
55,삼성전자 초저가 스마트폰 갤럭시A03s 발표!,"삼성전자 초저가 스마트폰 갤럭시A03s 발표! 프리미엄 스마트폰 시장에서 애플에 밀리고, 중저가 스마트폰 시장에서는 샤오미에 치이고 있는 삼성전자는 폴더블... "
56,삼성 갤럭시 노트20 스마트폰 캡처 방법 골라 쓰기!,스마트폰을 사용하며 캡처 기능을 자주 사용하시나요? 필요한 정보를 이미지로... 삼성 스마트폰을 쓰고 있다면 여러 가지 캡처 방법 중 선택해서 이용할 수 있는데... 
57,다이소 스마트 폰 거치대,"다이소 스마트폰 거치대입니다. 정식 명칭으로는 태블릿PC, 스마트폰 와이어 거치대라고 하는걸 구매하여 사용해보았습니다. 다이소에는 다양한 스마트폰 거치대가... "
58,노트북 모니터 연결 및 설정 스마트폰 미러링 방법,샤오미 스마트폰이나 아이폰등을 스마트tv와 미러링 연결도 가능합니다. 노트북 모니터 연결 및 설정방법 노트북 모니터 연결 완료 이를 통해 간단하게 노트북과... 
59,빨아 쓰는 스마트폰이 있다?!,특히 매일 쓰고 만지는 스마트폰은 세균이 가장 우려된다. 이런 걱정을 덜어줄 스마트폰이 일본에서 등장했다. 마치 손을 닦듯 비누나 세제로 문질러 닦을 수 있는... 
60,올해 출시한 스마트폰만 8대...엉망진창 삼성 라인업,"출시한 스마트폰들이다. 벌써 8개나 된다. 하반기에는 FE 모델과 Z 폴드 및 플립... 매체는 비슷한 이름의 스마트폰이 많아졌고, 이를 구별하는 게 점점 어려워지고... "
61,"애플, 삼성, LG...스마트폰 이렇게 좀 만들어 주라","AnandTech 매년, 매 분기 새로운 스마트폰이 출시되고 있다. 하드웨어 사양은 매번... 매일 쓰는 스마트폰에서부터 무선 이어폰, 태블릿 등 기타 전자기기도 같은... "
62,차량과 스마트폰 연결...‘데이터’ 조심하세요,"차와 스마트폰을 블루투스로 연결하기. 아마 운전자라면 늘, 매일 하는 일일... 탑승과 동시에 자동으로 연결되는 것은 물론 데이터도 연동되면서 스마트폰을... "
63,스마트폰 황금기는 저물었나,스마트폰이라는 곧 혁신이던 때가 있었다. 2007년 애플에서 아이폰 첫 모델을... 스마트폰이 새 시대를 열고 있다는 것을 모두가 직감했다. 기존 휴대전화 기업들도... 
64,"추워서 빨리 꺼지는 스마트폰, 어떻게 하지?",스마트폰을 마지막으로 확인했을 때보다 많이 줄어든 배터리 잔량이 눈에... 보통 때는 개의치 않고 그냥 쓰지만 일부 배터리 잔량이 얼마 없을 때는 스마트폰이 꺼지는... 
65,"오포의 롤러블 스마트폰, 실사용기 올라왔다!","중국 스마트폰 제조업체 오포(Oppo)는 지난해 롤러블 스마트폰 오포X2021을... 폰, 태블릿 담당 에디터인 Tom Bedford는 오포X 사용 후 좋았던 점과 별로였던 점을... "
66,자동차도 스마트폰도 '1달러짜리 반도체'없어 못 만든다,"전자 기업도 스마트폰이나 가전제품, 콘솔게임기에 들어가는 반도체도 부족해... (출처:Himax Technologies) 디스플레이 드라이버 칩은 스마트폰, 텔레비전, 노트북 등... "
67,현미경 품은 스마트폰 등장,오포가 흥미로운 카메라를 장착한 스마트폰을 공개했다. 제품명은 ‘Oppo Find X3... 100배 줌 카메라가 탑재된 스마트폰이 이미 시장에 나와 있기에 60배 줌은 다소... 
68,스마트폰 철수로 인해 출시되지 못한 보급형 LG 스마트폰... ,"LG는 2021년 CES 에서 롤러블폰을 선보이고, 벨벳 2 프로의 개발을 거의 다 마쳐놓은 상태에서 스마트폰 사업을 철수하는 결정을 하게 됩니다. 이 스마트폰 사업 철수는... "
69,"삼성, 갤럭시 스마트폰의 기본앱 광고를 제거하기로 결정.",갤럭시 스마트폰에서 정말 많은 사람들이 지적했던게 있습니다. 바로 자사의... 갤럭시 스마트폰을 구입했는데 거기에서 기본 제공되는 앱에서까지 이걸 왜 봐야하는... 
70,삼성 10만원대 초저가 스마트폰 갤럭시 A03s 준비중.,갤럭시 A03s의 디자인은 정말 평범한 삼성 저가형 스마트폰 그 이상도 그 이하도... 하단 포트의 경우 요즘 스마트폰 답지 않게? 3.5mm 이어폰 단자가 포함되어 있으며... 
71,"카메라, 용량...사용자가 원하는 대로 제작하는 스마트폰?","CNET 요즘 스마트폰은 너무 고스펙이다. 개인적으로 “내가 사용하는 기능에... 낮은 스펙의 저렴한 스마트폰을 선택하려니, 마음에 들지 않는 부분도 있다.... "
72,스마트폰 스탠드를 내장한 USB Type-C 독(번역),스마트폰 스탠드를 내장한 USB Type-C 독. SD 카드 리더 및 유선 LAN... 스마트폰 스탠드 일체형 디자인을 사용한 USB Type-C 확장 독. 확장단자는 USB... 
73,"웨일 그린드랍 스마트폰, PC 등의 기기 간 파일 전송","스마트폰, 태블릿, PC 간 파일을 전송할 때 편리하게 이용하고 있는데요. 어떤... 웨일 그린드랍 이용에 앞서 ▲ 그린드랍을 사용하기 위해서 스마트폰이나 태블릿에는... "
74,[서창마을어울림센터] 재밌는 스마트폰 기초교육과 카카오톡... ,SNS 스마트폰강사입니다. 21년 3월 26일 금요일 오전 10시부터 오후 3시까지 서창마을어울림센터에서 재밌는 스마트폰 기초교육과 카카오톡 활용교육 진행했어요.... 
75,"봄나들이 사진 찍으시나요, 갤럭시 스마트폰 카메라 TMI 모아봄!","이번 포스팅에서는 갤럭시 스마트폰을 기준으로, 사진을 찍을 때 알아두면 좋을... 갤럭시 스마트폰 기본 카메라 앱에는 '수직/수평 안내선'과 '촬영 구도 추천' 옵션이... "
76,스마트폰 강의시 필요한 미러링 팀뷰어 업데이트 되었네요.,"SNS 스마트폰강사 김미경입니다. 언제인지, ㅎ 스마트폰 강의시 꼭~ 필요한 미러링 팀뷰어가 업데이트 되었네요. 개인적인 용도로 연습할 때 아주 좋을 거 같아요.... "
77,블랙베리 핸드폰 쿼티키보드 스마트폰의 몰락,2010년 SKT가 캐나다 스마트폰 회사인 리서치인모션 RIM과 함께 국내에 블랙베리... 그러나 문제는 바형태의 스마트폰이 아이폰과 안드로이드폰으로 양분되어... 
78,"[검단농협] 문화교실 - 스마트폰기초교육 1회, 환경설정과... ","SNS 스마트폰강사 김미경입니다. 21년 4월 6일 오전 10시부터 12시까지 검단농협 문화교실에서 #스마트폰기초교육 1회, 환경설정과 #카카오톡 소통하기 실습했어요.... "
79,스마트폰스터디 동아리회원분들 대상으로 스마트폰교육,"스마트팜 동영상 시청 4. 스마트폰, 스마트폰으로 할 수 있는 일들 알아보기 5. 와이파이 설정하기 6. 스마트폰 용어 및 데이터 알아보기 7. 환경설정 실습하기 8.... "
80,발뮤다가 만드는 스마트폰...어떨까?,"이미 출시된 스마트폰에 스마트 가전기기를 컨트롤하는 앱이 있는 만큼, 더 디테일한 제어가 가능할 것으로 보인다. 자사 공장이 없는 발뮤다는 제조 파트너인... "
81,[스마트폰] 배터리 무선으로 충전하기,"SNS 스마트폰강사 김미경입니다. 제4차산업혁명시대에 없어서는 안되는 도구 중 하나인 스마트폰, 배터리를 무선으로 충전시킬 수 있습니다. 아이폰과 안드로이드폰은... "
82,포켓에 수납할 수 있는 스마트폰용 컴팩트 짐벌... ,포켓에 수납할 수 있는 스마트폰용 컴팩트 짐벌 'PowerVision S1' 야마자키 겐타로 포켓에도 수납할 수 있는 컴팩트한 스마트폰용 짐벌 'PowerVision S1' PowerVision... 
83,"1형 센서×""즈미크론""렌즈 탑재 스마트폰 「AQUOS R6」(번역)","샤프, 라이카 감수의 1형 센서×""즈미크론""렌즈 탑재 스마트폰 「AQUOS R6」 본지 : 스즈키 마코토 샤프는, 동사 플래그십 모델의 스마트폰 「AQUOS R6」를... "
84,[P-188] 스마트폰 가죽 홀스터,[P-188] 스마트폰 가죽 홀스터 Smartphone Leather Holster 재료 : Italian vagetable tanning leather #스마트폰 가죽 #홀스터 가죽 홀스터 입니다 총을 넣는건... 
85,삼성 갤럭시 스마트폰 키보드 설정 카톡에서 한자 입력하기,개인마다 다르겠지만 스마트폰에서 한자를 입력하는 경우는 많지 않은 편이라고... 삼성 갤럭시 스마트폰을 사용한다면 간단한 키보드 설정으로 한자를 입력할 수... 
86,스마트폰해킹 걱정되는 반복 생성 사진 5장 갤러리에서... ,일주일 전부터 다운로드 받은 일이 없는데 사진 그림 5장이 스마트폰 갤러리에... 스마트폰해킹 걱정되는 반복 생성 사진 5장 갤러리에서 삭제하는 법 근데 이게 머선일... 
87,"롤랜드, 고품질 라이브 전송용 스마트폰용 믹서 ""GO:MIXER... ","전송용 스마트폰용 믹서. 약 19,800엔 아베 쿠니히로 GO : MIXER PRO - X 롤란드는, 고품질 라이브 전달·동영상 촬영을 할 수 있는 스마트폰용 오디오 믹서... "
88,나무에 스마트폰이 열매로 달린 까닭,"노란 꽃이 피는 나무 밑둥에 네모난 물체들이 있어서 봤더니, 조금은 아슬아슬하게 걸쳐 놓은 스마트폰들이다. 열매처럼 스마트폰을 맺는 '21세기 디지털... "
89,"LG, 인도시장에 새로운 스마트폰 K42를 출시하다",현재 스마트폰 사업 철수설이 돌고 있는 LG전자에서 새로운 스마트폰이 출시되었습니다. 인도 시장을 타겟으로 한 저가 제품인 LG K42라는 제품으로 전형적인... 
90,차량용 스마트폰 거치대 OSA-H8,차량용 스마트폰 거치대 샀습니다 차량에 내비가 내장되어 있다면 상관없겠지만... 없는 스마트폰을 쓰시는 분에게 추천드립니다 가격은 5천 원 정도 줬네요 집게... 
91,스마트폰 사진강의 - 채수창,"#스마트폰 #사진강의 #채수창 #앤써북 #구도 #사진촬영 #보정법 한 권으로 끝내는 스마트폰 사진강의 : 구도와 사진촬영, 보정법 저자 채수창 출판 앤써북 발매 2021.... "
92,스마트폰으로 사진 구도 연습하기,"수평 맞추기, 황금분할, 삼등분의 원칙을 생각하면서 좋은 카메라보다는 매일 같이 들고 다니는 스마트폰으로 촬영을 해보았다 일단 스마트폰 기본 카메라에도 수직... "
93,스마트폰 문자에 링크된 파일이 열리지 않을때,"#스마트폰에_링크된_브라우저의_연결_설정방법 #문자에_연결된_내용보기 #문자링크파일열기 #메일링크파일열기 (1,일) 스마트폰 화면의 어느 쪽에 버티고 있는... "
94,스마트폰 사진 편집 콜라주앱 사진,#콜라주앱사진 #경남디지털배움터교육 #스마트폰사진편집 #디지털배움터 교육한 사진들입니다. 스마트폰에 콜라주 앱 설치한 후 교육생들과 함께 실습한 사진들입니다.... 
95,네이버 블로그 글쓰고 스마트폰 카카오스토리에 쉽게 공유하기,"SNS 스마트폰강사입니다. 블로그 글쓰고 스마트폰으로 카카오스토리에 거의 공유를 하고 있는데요, 얼마전부터 공유아이콘이 보이지 않았어요. 때마침 기존 수강생님... "
96,"가성비 스마트폰! 갤럭시 A52 LTE, 5G 스펙 정리!",중급형 스마트폰에 많은 신경을 쓰고 있습니다. 그래서 자세하게 살펴보면 은근히 가성비가 좋은 편입니다. 그리고 이번에 중급형 스마트폰 종결자라고 불러도... 
97,EISA 선정 2021~2022 올해의 스마트폰 카메라 오포 FIND... ,제가 자주 찾아가서 보는 DXOMARK 스마트폰 카메라 지수와 하드웨어 지수에 보면... 일단 두 폴더블 폰 반응은 좋습니다. 또한 갤럭시 S22가 엄청난 카메라를 달고... 
98,내 컴퓨터와 갤럭시 스마트폰 무선 연결하기,728x90 여러분들도 잘 아시다시피 스마트폰과 pc를 연결할 수 있습니다. 제가 가장... 집이나 사무실 밖에 있는 스마트폰은 연결이 안됩니다. 본격적으로 설명하기 전... 
99,집에서 찍는 스마트폰 제품 사진 -문철진,집에서 찍는 스마트폰 제품 사진은 누구나 집에서 스마트폰 카메라로 제품 사진을 찍을 수 있는 방법을 담고 있어요. 어떻게 촬영했지 궁금했던 부분들이 이 스마트폰... 
100,침대 스마트폰 거치대 _ 라이프독서대 프로,침대 스마트폰 거치대 라이프독서대 PRO 누워서 책을보거나 영화를 보거나 할때에... 스마트폰부터 시작해서 책이나 이북리더기 아이패드를 비롯한 각종 태블릿... 
101,펭수 차량용 거치대 갤럭시 스마트폰 거치 후기,"스마트폰을 장착하기 이전에 알아두어야 할 것이 있다. 바닥에 보면 휠처럼 왔다갔다 할 수 있는 버튼이 있는데, 이를 꾹 누른 상태에서 좌우로 당기면 스마트폰을 걸... "
102,2021년 2분기 스마트폰 시장점유율,시장조사업체 캐널리스에 따르면 2021년 2분기 글로벌 스마트폰 출하 규모는 백신 접종 확산 등으로 전년 동분기 대비 12% 증가했다. 아직 2분기 스마트폰... 
103,LG 스마트폰 결국 베트남과 중국으로 매각되나?,"LG 스마트폰 사업부가 현상 유지를 하나 싶었는데 뜻밖의 상황이 발생하고... 빈스마트의 모기업인 빈 그룹에 매각할 것으로 예상이 됩니다. 특히, 전세계 IT 기업들이... "
104,"LG전자 스마트폰 MC사업부 완전철수 결정, 향후 방향","아무래도 당시의 webOS는 스마트 TV용, 혹은 사물인터넷 용도가 아닌 스마트폰 용도의 OS였으며, 이미 iOS와 안드로이드의 2파전 양상이 확실히 나눠져 있었습니다. 물론... "
